,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
70,TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,2023-03
71,TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,2023-01
75,TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,2023-07
79,TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,2023-06
80,TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,2023-12
83,TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,2023-10
90,TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,2023-08
96,TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,2023-06
97,TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,2023-04
98,TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,2023-05
99,TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,2023-07
102,TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,2023-12
108,TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,2023-12
119,TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,2023-02
123,TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,2023-09
125,TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,2023-09
127,TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,2023-12
128,TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,2023-02
129,TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,2023-03
132,TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,2023-07
133,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,2023-04
135,TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,2023-12
136,TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,2023-01
137,TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,2023-06
149,TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,2023-03
156,TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,2023-04
157,TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,2023-11
166,TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,2023-05
167,TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,2023-07
169,TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,2023-11
173,TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,2023-03
176,TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,2023-02
179,TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,2023-03
182,TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,2023-11
185,TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,2023-09
187,TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,2023-02
192,TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,2023-04
194,TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,2023-02
200,TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,2023-12
204,TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,2023-02
205,TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,2023-04
208,TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,2023-05
215,TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,2023-04
217,TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,2023-05
220,TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,2023-03
221,TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,2023-11
225,TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,2023-12
226,TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,2023-05
231,TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,2023-09
242,TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,2023-10
244,TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,2023-08
250,TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,2023-09
251,TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,2023-12
254,TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,2023-05
255,TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,2023-08
256,TXN_1967565,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,2023-03
257,TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06,2023-01
260,TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,2023-07
262,TXN_2059647,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29,2023-05
263,TXN_2485183,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-07-07,2023-07
265,TXN_9401522,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16,2023-11
266,TXN_8250651,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13,2023-03
268,TXN_8982764,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23,2023-11
270,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,2023-11
290,TXN_7557340,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11,2023-12
291,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,2023-04
292,TXN_2020318,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12,2023-10
297,TXN_2031459,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-04,2023-07
301,TXN_4912930,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-26,2023-02
303,TXN_3723007,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18,2023-05
318,TXN_7559388,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26,2023-02
319,TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22,2023-01
321,TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28,2023-01
322,TXN_6702428,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-11,2023-08
330,TXN_5523450,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-07-02,2023-07
331,TXN_7838964,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15,2023-06
338,TXN_7275407,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-10-20,2023-10
342,TXN_9472241,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-06-30,2023-06
346,TXN_1846004,Juice,3.0,3.0,9.0,Cash,In-store,2023-05-21,2023-05
349,TXN_7773968,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-02-24,2023-02
350,TXN_9081088,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-02-27,2023-02
352,TXN_1130191,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-04-06,2023-04
354,TXN_1040764,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-07-27,2023-07
357,TXN_2100697,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-09-19,2023-09
360,TXN_4134594,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-27,2023-09
361,TXN_5079340,Cookie,4.0,1.0,4.0,Cash,In-store,2023-08-18,2023-08
363,TXN_1380601,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-03-11,2023-03
368,TXN_2052395,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-07-06,2023-07
373,TXN_8256593,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-08-09,2023-08
374,TXN_9271457,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-02-27,2023-02
375,TXN_5392603,Coffee,1.0,2.0,2.0,Cash,In-store,2023-05-14,2023-05
377,TXN_9263299,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-10-08,2023-10
382,TXN_1436343,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-11-26,2023-11
384,TXN_7480234,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-05-10,2023-05
391,TXN_1454467,Juice,3.0,3.0,9.0,Cash,In-store,2023-03-15,2023-03
394,TXN_8224079,Cookie,5.0,1.0,5.0,Cash,In-store,2023-10-16,2023-10
395,TXN_1916339,Cake,1.0,3.0,3.0,Cash,In-store,2023-07-15,2023-07
396,TXN_8611035,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-05-28,2023-05
397,TXN_3595735,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-03-26,2023-03
400,TXN_6169633,Salad,4.0,5.0,20.0,Credit Card,Takeaway,2023-12-20,2023-12
404,TXN_4518102,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-02-08,2023-02
410,TXN_3666858,Cake,4.0,3.0,12.0,Credit Card,In-store,2023-12-27,2023-12
411,TXN_5499915,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-01,2023-02
414,TXN_1564754,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-03-14,2023-03
415,TXN_1824506,Cake,1.0,3.0,3.0,Cash,In-store,2023-03-02,2023-03
418,TXN_1002457,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-09-29,2023-09
420,TXN_4732351,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-22,2023-04
422,TXN_4980036,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-01-05,2023-01
423,TXN_3022839,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-25,2023-08
424,TXN_7701070,Coffee,5.0,2.0,10.0,Credit Card,Takeaway,2023-07-28,2023-07
425,TXN_8048037,Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-31,2023-03
428,TXN_1887522,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-20,2023-02
436,TXN_6769465,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-06-13,2023-06
440,TXN_4980282,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-10-22,2023-10
445,TXN_8209125,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-01-30,2023-01
447,TXN_3730415,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-09,2023-04
448,TXN_4134253,Tea,4.0,1.5,6.0,Cash,In-store,2023-10-07,2023-10
454,TXN_7558641,Coffee,1.0,2.0,2.0,Digital Wallet,In-store,2023-12-22,2023-12
464,TXN_3234877,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-07-29,2023-07
465,TXN_6368719,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-01-03,2023-01
466,TXN_8852585,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-01-05,2023-01
467,TXN_9201010,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-15,2023-03
472,TXN_3607652,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-06-05,2023-06
473,TXN_8502094,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-03-21,2023-03
474,TXN_9068244,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-10-19,2023-10
477,TXN_7633490,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-10-27,2023-10
478,TXN_9292230,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-07-14,2023-07
484,TXN_8006668,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-12-22,2023-12
487,TXN_3560062,Cookie,1.0,1.0,1.0,Cash,In-store,2023-03-20,2023-03
491,TXN_6360132,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-09-16,2023-09
494,TXN_7864939,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-08-19,2023-08
496,TXN_3740963,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-22,2023-01
498,TXN_6063966,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-24,2023-10
499,TXN_3779640,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-16,2023-05
505,TXN_8136881,Salad,3.0,5.0,15.0,Cash,In-store,2023-08-28,2023-08
506,TXN_3981449,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-06-21,2023-06
510,TXN_4033802,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-03-02,2023-03
517,TXN_4696439,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-27,2023-05
518,TXN_8826983,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-01-14,2023-01
522,TXN_2947822,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-10-27,2023-10
529,TXN_2493446,Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-19,2023-05
530,TXN_4538354,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-04-21,2023-04
533,TXN_2690314,Tea,5.0,1.5,7.5,Cash,In-store,2023-08-10,2023-08
536,TXN_2968827,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-09-14,2023-09
538,TXN_1387401,Cookie,4.0,1.0,4.0,Cash,In-store,2023-10-19,2023-10
540,TXN_3917193,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-11-17,2023-11
542,TXN_2062854,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-01,2023-12
544,TXN_5624860,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-08-22,2023-08
553,TXN_3381656,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-10-26,2023-10
557,TXN_1183995,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-28,2023-03
563,TXN_7578769,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-01-30,2023-01
564,TXN_3515664,Coffee,2.0,2.0,4.0,Cash,Takeaway,2023-09-25,2023-09
567,TXN_6422433,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-05-09,2023-05
572,TXN_4669664,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-12-21,2023-12
581,TXN_2213556,Coffee,1.0,2.0,2.0,Cash,In-store,2023-05-30,2023-05
582,TXN_3826038,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-10-20,2023-10
584,TXN_7380277,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-24,2023-04
588,TXN_9266394,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-07-12,2023-07
592,TXN_6152588,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-11-21,2023-11
596,TXN_5739806,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-09-18,2023-09
597,TXN_9228978,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-02-09,2023-02
603,TXN_1124753,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-10-19,2023-10
606,TXN_7611120,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-03-30,2023-03
610,TXN_6316959,Tea,2.0,1.5,3.0,Cash,In-store,2023-11-10,2023-11
611,TXN_2265984,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-10-18,2023-10
615,TXN_1123138,Salad,1.0,5.0,5.0,Cash,In-store,2023-02-10,2023-02
616,TXN_9212503,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-10-08,2023-10
620,TXN_2806243,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14,2023-01
623,TXN_3286932,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-11,2023-07
624,TXN_3481470,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-12-24,2023-12
626,TXN_3469469,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-10-25,2023-10
632,TXN_4998786,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-10-25,2023-10
635,TXN_2126408,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-10-19,2023-10
637,TXN_8958593,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-07-08,2023-07
638,TXN_2383598,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-09-19,2023-09
639,TXN_2211685,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-06-06,2023-06
644,TXN_5933480,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-04,2023-09
650,TXN_5447508,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-06-28,2023-06
651,TXN_5686113,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-09,2023-09
655,TXN_3397609,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-07-22,2023-07
656,TXN_9347203,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-04-15,2023-04
658,TXN_3383926,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-08,2023-07
659,TXN_6905718,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-02-20,2023-02
662,TXN_7993951,Tea,2.0,1.5,3.0,Digital Wallet,Takeaway,2023-12-14,2023-12
666,TXN_9097641,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-12-16,2023-12
668,TXN_8536115,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-07-11,2023-07
670,TXN_2915281,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-07-01,2023-07
671,TXN_3468006,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-07-28,2023-07
672,TXN_7604541,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-04-16,2023-04
674,TXN_9238689,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-03-09,2023-03
675,TXN_2601689,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14,2023-01
676,TXN_6428182,Cake,5.0,3.0,15.0,Cash,In-store,2023-11-10,2023-11
677,TXN_6830557,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-11-08,2023-11
678,TXN_6371264,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-02-27,2023-02
680,TXN_9236713,Cookie,5.0,1.0,5.0,Cash,In-store,2023-09-13,2023-09
682,TXN_4690833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-05-23,2023-05
683,TXN_7946489,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-09-11,2023-09
684,TXN_8661288,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-27,2023-01
691,TXN_6111710,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-18,2023-06
693,TXN_1773873,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-06-10,2023-06
695,TXN_4570711,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-11,2023-12
696,TXN_5242469,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-04-01,2023-04
700,TXN_1655100,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-20,2023-12
701,TXN_1526864,Smoothie,3.0,4.0,12.0,Digital Wallet,In-store,2023-01-27,2023-01
703,TXN_9866728,Juice,1.0,3.0,3.0,Cash,In-store,2023-10-26,2023-10
704,TXN_1706201,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-08-23,2023-08
705,TXN_2498488,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-12-06,2023-12
707,TXN_4431179,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-08-13,2023-08
713,TXN_2108894,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-10-30,2023-10
714,TXN_6347472,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-03-22,2023-03
719,TXN_8345723,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-08-27,2023-08
723,TXN_2178964,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-12-25,2023-12
728,TXN_6581437,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-10-23,2023-10
730,TXN_6128621,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-11-10,2023-11
735,TXN_4512118,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-04-20,2023-04
740,TXN_4961655,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-05-06,2023-05
741,TXN_5595352,Juice,1.0,3.0,3.0,Cash,In-store,2023-02-20,2023-02
745,TXN_1869814,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-05-24,2023-05
747,TXN_6910915,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-05-06,2023-05
753,TXN_5229169,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-09-08,2023-09
758,TXN_5576265,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-04-08,2023-04
770,TXN_1046394,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-04-29,2023-04
772,TXN_2269396,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-10-26,2023-10
773,TXN_9263967,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-09-14,2023-09
775,TXN_2914088,Salad,5.0,5.0,25.0,Cash,In-store,2023-03-22,2023-03
776,TXN_6571898,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-02-02,2023-02
781,TXN_2108486,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-12-28,2023-12
792,TXN_5315441,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-10-31,2023-10
793,TXN_9196322,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-08-12,2023-08
803,TXN_7838465,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-06-15,2023-06
804,TXN_2447261,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-15,2023-10
808,TXN_1460963,Coffee,3.0,2.0,6.0,Cash,In-store,2023-02-10,2023-02
812,TXN_6691767,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-02-05,2023-02
814,TXN_6932070,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-06-10,2023-06
820,TXN_4640977,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-02-11,2023-02
823,TXN_7896721,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-04-22,2023-04
828,TXN_7906197,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-01-02,2023-01
831,TXN_8066743,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-11-13,2023-11
839,TXN_7585348,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-03-16,2023-03
841,TXN_4005014,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-10,2023-07
843,TXN_4478185,Cake,2.0,3.0,6.0,Cash,In-store,2023-08-25,2023-08
845,TXN_3461209,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-04-26,2023-04
847,TXN_1026827,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-01-02,2023-01
855,TXN_5369555,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-02-24,2023-02
857,TXN_8187656,Tea,4.0,1.5,6.0,Credit Card,Takeaway,2023-05-01,2023-05
858,TXN_6463415,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-04-12,2023-04
865,TXN_4634772,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-01-12,2023-01
867,TXN_8034156,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-07-22,2023-07
868,TXN_2163229,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-12-21,2023-12
870,TXN_1343750,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-15,2023-02
873,TXN_8022689,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-06-15,2023-06
888,TXN_2416816,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-10-19,2023-10
890,TXN_1778707,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-03-26,2023-03
906,TXN_3746260,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-08-26,2023-08
910,TXN_3725837,Coffee,5.0,2.0,10.0,Cash,In-store,2023-10-22,2023-10
913,TXN_4594922,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-06-19,2023-06
914,TXN_5163686,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-05-29,2023-05
917,TXN_2826603,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-06-22,2023-06
920,TXN_3760598,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-10-24,2023-10
921,TXN_7679707,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-07-22,2023-07
