,Unnamed: 0,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Transaction Date,Month,Month_num,Year,Location_Takeaway,Payment Method_Credit Card,Payment Method_Digital Wallet,Spent Per Item,Total_Item_Revenue_x,Total_Item_Revenue_y,Total_Item_Revenue
15,46,TXN_8078640,Juice,4.0,3.0,12.0,2023-11-03,2023-11-01,11,2023,False,False,True,3.0,3735.0,3735.0,3735.0
16,54,TXN_8614868,Smoothie,5.0,4.0,20.0,2023-12-05,2023-12-01,12,2023,True,False,True,4.0,4088.0,4088.0,4088.0
17,58,TXN_6421134,Sandwich,4.0,4.0,16.0,2023-11-03,2023-11-01,11,2023,True,False,False,4.0,4772.0,4772.0,4772.0
18,67,TXN_3068204,Cookie,1.0,1.0,1.0,2023-10-03,2023-10-01,10,2023,True,True,False,1.0,1163.0,1163.0,1163.0
19,70,TXN_2621580,Tea,2.0,1.5,3.0,2023-03-22,2023-03-01,3,2023,False,False,False,1.5,1726.5,1726.5,1726.5
20,71,TXN_4726376,Cake,2.0,3.0,6.0,2023-01-31,2023-01-01,1,2023,False,True,False,3.0,3519.0,3519.0,3519.0
21,75,TXN_6420335,Coffee,1.0,2.0,2.0,2023-07-16,2023-07-01,7,2023,True,False,False,2.0,2242.0,2242.0,2242.0
22,79,TXN_3829165,Juice,4.0,3.0,12.0,2023-06-15,2023-06-01,6,2023,False,False,False,3.0,3735.0,3735.0,3735.0
23,80,TXN_3748616,Coffee,2.0,2.0,4.0,2023-12-09,2023-12-01,12,2023,False,True,False,2.0,2242.0,2242.0,2242.0
24,83,TXN_5266394,Cake,3.0,3.0,9.0,2023-10-28,2023-10-01,10,2023,False,False,False,3.0,3519.0,3519.0,3519.0
25,90,TXN_8976658,Tea,2.0,1.5,3.0,2023-08-16,2023-08-01,8,2023,False,True,False,1.5,1726.5,1726.5,1726.5
26,96,TXN_5220895,Salad,5.0,5.0,25.0,2023-06-10,2023-06-01,6,2023,False,False,False,5.0,6360.0,6360.0,6360.0
27,97,TXN_3085509,Coffee,4.0,2.0,8.0,2023-04-15,2023-04-01,4,2023,False,False,True,2.0,2242.0,2242.0,2242.0
28,98,TXN_9999113,Juice,4.0,3.0,12.0,2023-05-27,2023-05-01,5,2023,True,False,False,3.0,3735.0,3735.0,3735.0
29,99,TXN_8779771,Coffee,4.0,2.0,8.0,2023-07-25,2023-07-01,7,2023,False,False,False,2.0,2242.0,2242.0,2242.0
30,102,TXN_3808639,Juice,2.0,3.0,6.0,2023-12-15,2023-12-01,12,2023,True,False,True,3.0,3735.0,3735.0,3735.0
31,108,TXN_4358673,Cookie,5.0,1.0,5.0,2023-12-28,2023-12-01,12,2023,True,False,True,1.0,1163.0,1163.0,1163.0
32,119,TXN_4368416,Salad,2.0,5.0,10.0,2023-02-24,2023-02-01,2,2023,True,True,False,5.0,6360.0,6360.0,6360.0
33,123,TXN_6258471,Coffee,5.0,2.0,10.0,2023-09-23,2023-09-01,9,2023,False,False,True,2.0,2242.0,2242.0,2242.0
34,125,TXN_4685453,Tea,4.0,1.5,6.0,2023-09-14,2023-09-01,9,2023,False,False,False,1.5,1726.5,1726.5,1726.5
35,127,TXN_9096052,Smoothie,4.0,4.0,16.0,2023-12-28,2023-12-01,12,2023,True,True,False,4.0,4088.0,4088.0,4088.0
36,128,TXN_5916991,Juice,2.0,3.0,6.0,2023-02-06,2023-02-01,2,2023,True,False,True,3.0,3735.0,3735.0,3735.0
37,129,TXN_3407169,Sandwich,2.0,4.0,8.0,2023-03-11,2023-03-01,3,2023,False,False,False,4.0,4772.0,4772.0,4772.0
38,132,TXN_2181545,Juice,4.0,3.0,12.0,2023-07-14,2023-07-01,7,2023,True,True,False,3.0,3735.0,3735.0,3735.0
39,133,TXN_1150033,Juice,5.0,3.0,15.0,2023-04-18,2023-04-01,4,2023,False,False,False,3.0,3735.0,3735.0,3735.0
40,135,TXN_8700451,Tea,5.0,1.5,7.5,2023-12-12,2023-12-01,12,2023,True,True,False,1.5,1726.5,1726.5,1726.5
41,136,TXN_6380550,Coffee,5.0,2.0,10.0,2023-01-05,2023-01-01,1,2023,False,False,False,2.0,2242.0,2242.0,2242.0
42,137,TXN_4885518,Salad,3.0,5.0,15.0,2023-06-10,2023-06-01,6,2023,False,True,False,5.0,6360.0,6360.0,6360.0
43,149,TXN_5072031,Cake,2.0,3.0,6.0,2023-03-23,2023-03-01,3,2023,True,False,False,3.0,3519.0,3519.0,3519.0
44,156,TXN_1928241,Coffee,3.0,2.0,6.0,2023-04-30,2023-04-01,4,2023,False,False,False,2.0,2242.0,2242.0,2242.0
45,157,TXN_4283157,Salad,5.0,5.0,25.0,2023-11-25,2023-11-01,11,2023,False,False,True,5.0,6360.0,6360.0,6360.0
46,166,TXN_1648671,Sandwich,3.0,4.0,12.0,2023-05-21,2023-05-01,5,2023,True,False,False,4.0,4772.0,4772.0,4772.0
47,167,TXN_4062737,Cake,3.0,3.0,9.0,2023-07-02,2023-07-01,7,2023,False,False,False,3.0,3519.0,3519.0,3519.0
48,169,TXN_9249507,Cookie,4.0,1.0,4.0,2023-11-21,2023-11-01,11,2023,False,True,False,1.0,1163.0,1163.0,1163.0
49,173,TXN_9836934,Cookie,3.0,1.0,3.0,2023-03-13,2023-03-01,3,2023,False,False,True,1.0,1163.0,1163.0,1163.0
50,176,TXN_3925836,Cookie,3.0,1.0,3.0,2023-02-16,2023-02-01,2,2023,False,False,True,1.0,1163.0,1163.0,1163.0
51,179,TXN_3978874,Smoothie,5.0,4.0,20.0,2023-03-13,2023-03-01,3,2023,False,True,False,4.0,4088.0,4088.0,4088.0
52,182,TXN_8007337,Cake,2.0,3.0,6.0,2023-11-01,2023-11-01,11,2023,True,False,True,3.0,3519.0,3519.0,3519.0
53,185,TXN_5365809,Cake,3.0,3.0,9.0,2023-09-14,2023-09-01,9,2023,False,False,False,3.0,3519.0,3519.0,3519.0
54,187,TXN_6629480,Smoothie,5.0,4.0,20.0,2023-02-28,2023-02-01,2,2023,False,True,False,4.0,4088.0,4088.0,4088.0
55,192,TXN_7412722,Juice,4.0,3.0,12.0,2023-04-07,2023-04-01,4,2023,False,False,False,3.0,3735.0,3735.0,3735.0
56,194,TXN_6000201,Cookie,3.0,1.0,3.0,2023-02-16,2023-02-01,2,2023,True,False,False,1.0,1163.0,1163.0,1163.0
57,200,TXN_2950680,Coffee,2.0,2.0,4.0,2023-12-10,2023-12-01,12,2023,True,True,False,2.0,2242.0,2242.0,2242.0
58,204,TXN_4088917,Coffee,3.0,2.0,6.0,2023-02-04,2023-02-01,2,2023,True,False,False,2.0,2242.0,2242.0,2242.0
59,205,TXN_3779366,Cookie,1.0,1.0,1.0,2023-04-15,2023-04-01,4,2023,False,False,True,1.0,1163.0,1163.0,1163.0
60,208,TXN_3171373,Smoothie,3.0,4.0,12.0,2023-05-10,2023-05-01,5,2023,False,True,False,4.0,4088.0,4088.0,4088.0
61,215,TXN_3857960,Salad,4.0,5.0,20.0,2023-04-26,2023-04-01,4,2023,False,False,False,5.0,6360.0,6360.0,6360.0
62,217,TXN_9250710,Salad,1.0,5.0,5.0,2023-05-28,2023-05-01,5,2023,False,False,False,5.0,6360.0,6360.0,6360.0
63,220,TXN_9879996,Coffee,4.0,2.0,8.0,2023-03-01,2023-03-01,3,2023,False,False,True,2.0,2242.0,2242.0,2242.0
64,221,TXN_4291940,Cake,3.0,3.0,9.0,2023-11-13,2023-11-01,11,2023,False,True,False,3.0,3519.0,3519.0,3519.0
65,225,TXN_5047447,Salad,1.0,5.0,5.0,2023-12-27,2023-12-01,12,2023,True,False,True,5.0,6360.0,6360.0,6360.0
66,226,TXN_6623508,Cookie,5.0,1.0,5.0,2023-05-18,2023-05-01,5,2023,True,False,True,1.0,1163.0,1163.0,1163.0
67,231,TXN_2230167,Cake,4.0,3.0,12.0,2023-09-22,2023-09-01,9,2023,True,False,True,3.0,3519.0,3519.0,3519.0
68,242,TXN_3786188,Tea,3.0,1.5,4.5,2023-10-20,2023-10-01,10,2023,False,True,False,1.5,1726.5,1726.5,1726.5
69,244,TXN_9642066,Sandwich,3.0,4.0,12.0,2023-08-31,2023-08-01,8,2023,False,True,False,4.0,4772.0,4772.0,4772.0
70,250,TXN_6616971,Juice,2.0,3.0,6.0,2023-09-02,2023-09-01,9,2023,True,False,True,3.0,3735.0,3735.0,3735.0
71,251,TXN_7803615,Salad,3.0,5.0,15.0,2023-12-13,2023-12-01,12,2023,False,False,False,5.0,6360.0,6360.0,6360.0
72,254,TXN_1583597,Salad,1.0,5.0,5.0,2023-05-10,2023-05-01,5,2023,False,False,False,5.0,6360.0,6360.0,6360.0
73,255,TXN_8472308,Cookie,2.0,1.0,2.0,2023-08-19,2023-08-01,8,2023,True,False,True,1.0,1163.0,1163.0,1163.0
74,256,TXN_1967565,Smoothie,5.0,4.0,20.0,2023-03-31,2023-03-01,3,2023,True,True,False,4.0,4088.0,4088.0,4088.0
75,257,TXN_2029497,Sandwich,2.0,4.0,8.0,2023-01-06,2023-01-01,1,2023,True,False,False,4.0,4772.0,4772.0,4772.0
76,260,TXN_7852990,Sandwich,5.0,4.0,20.0,2023-07-10,2023-07-01,7,2023,True,False,True,4.0,4772.0,4772.0,4772.0
77,262,TXN_2059647,Tea,1.0,1.5,1.5,2023-05-29,2023-05-01,5,2023,False,False,True,1.5,1726.5,1726.5,1726.5
78,263,TXN_2485183,Smoothie,5.0,4.0,20.0,2023-07-07,2023-07-01,7,2023,False,False,False,4.0,4088.0,4088.0,4088.0
79,265,TXN_9401522,Sandwich,4.0,4.0,16.0,2023-11-16,2023-11-01,11,2023,False,False,True,4.0,4772.0,4772.0,4772.0
80,266,TXN_8250651,Sandwich,4.0,4.0,16.0,2023-03-13,2023-03-01,3,2023,False,False,True,4.0,4772.0,4772.0,4772.0
81,268,TXN_8982764,Cake,5.0,3.0,15.0,2023-11-23,2023-11-01,11,2023,True,False,True,3.0,3519.0,3519.0,3519.0
82,270,TXN_1153869,Smoothie,5.0,4.0,20.0,2023-11-03,2023-11-01,11,2023,True,True,False,4.0,4088.0,4088.0,4088.0
83,290,TXN_7557340,Tea,5.0,1.5,7.5,2023-12-11,2023-12-01,12,2023,False,True,False,1.5,1726.5,1726.5,1726.5
84,291,TXN_1157817,Smoothie,1.0,4.0,4.0,2023-04-25,2023-04-01,4,2023,False,False,True,4.0,4088.0,4088.0,4088.0
85,292,TXN_2020318,Tea,3.0,1.5,4.5,2023-10-12,2023-10-01,10,2023,False,False,True,1.5,1726.5,1726.5,1726.5
86,297,TXN_2031459,Cake,3.0,3.0,9.0,2023-07-04,2023-07-01,7,2023,True,False,False,3.0,3519.0,3519.0,3519.0
87,301,TXN_4912930,Smoothie,3.0,4.0,12.0,2023-02-26,2023-02-01,2,2023,False,True,False,4.0,4088.0,4088.0,4088.0
88,303,TXN_3723007,Tea,3.0,1.5,4.5,2023-05-18,2023-05-01,5,2023,False,False,True,1.5,1726.5,1726.5,1726.5
89,318,TXN_7559388,Salad,4.0,5.0,20.0,2023-02-26,2023-02-01,2,2023,True,False,True,5.0,6360.0,6360.0,6360.0
90,319,TXN_8540499,Cookie,3.0,1.0,3.0,2023-01-22,2023-01-01,1,2023,False,False,False,1.0,1163.0,1163.0,1163.0
91,321,TXN_6795640,Cookie,4.0,1.0,4.0,2023-01-28,2023-01-01,1,2023,True,False,True,1.0,1163.0,1163.0,1163.0
92,322,TXN_6702428,Coffee,5.0,2.0,10.0,2023-08-11,2023-08-01,8,2023,True,False,False,2.0,2242.0,2242.0,2242.0
93,330,TXN_5523450,Salad,5.0,5.0,25.0,2023-07-02,2023-07-01,7,2023,True,True,False,5.0,6360.0,6360.0,6360.0
94,331,TXN_7838964,Sandwich,3.0,4.0,12.0,2023-06-15,2023-06-01,6,2023,False,True,False,4.0,4772.0,4772.0,4772.0
95,338,TXN_7275407,Smoothie,2.0,4.0,8.0,2023-10-20,2023-10-01,10,2023,False,False,True,4.0,4088.0,4088.0,4088.0
96,342,TXN_9472241,Salad,3.0,5.0,15.0,2023-06-30,2023-06-01,6,2023,True,False,False,5.0,6360.0,6360.0,6360.0
97,346,TXN_1846004,Juice,3.0,3.0,9.0,2023-05-21,2023-05-01,5,2023,False,False,False,3.0,3735.0,3735.0,3735.0
98,349,TXN_7773968,Sandwich,5.0,4.0,20.0,2023-02-24,2023-02-01,2,2023,True,False,True,4.0,4772.0,4772.0,4772.0
99,350,TXN_9081088,Tea,2.0,1.5,3.0,2023-02-27,2023-02-01,2,2023,True,False,False,1.5,1726.5,1726.5,1726.5
100,352,TXN_1130191,Smoothie,2.0,4.0,8.0,2023-04-06,2023-04-01,4,2023,False,False,False,4.0,4088.0,4088.0,4088.0
101,354,TXN_1040764,Coffee,3.0,2.0,6.0,2023-07-27,2023-07-01,7,2023,True,False,False,2.0,2242.0,2242.0,2242.0
102,357,TXN_2100697,Coffee,3.0,2.0,6.0,2023-09-19,2023-09-01,9,2023,True,False,True,2.0,2242.0,2242.0,2242.0
103,360,TXN_4134594,Sandwich,3.0,4.0,12.0,2023-09-27,2023-09-01,9,2023,False,False,True,4.0,4772.0,4772.0,4772.0
104,361,TXN_5079340,Cookie,4.0,1.0,4.0,2023-08-18,2023-08-01,8,2023,False,False,False,1.0,1163.0,1163.0,1163.0
105,363,TXN_1380601,Tea,4.0,1.5,6.0,2023-03-11,2023-03-01,3,2023,False,False,True,1.5,1726.5,1726.5,1726.5
106,368,TXN_2052395,Smoothie,3.0,4.0,12.0,2023-07-06,2023-07-01,7,2023,False,True,False,4.0,4088.0,4088.0,4088.0
107,373,TXN_8256593,Salad,2.0,5.0,10.0,2023-08-09,2023-08-01,8,2023,True,False,True,5.0,6360.0,6360.0,6360.0
108,374,TXN_9271457,Cake,3.0,3.0,9.0,2023-02-27,2023-02-01,2,2023,False,False,True,3.0,3519.0,3519.0,3519.0
109,375,TXN_5392603,Coffee,1.0,2.0,2.0,2023-05-14,2023-05-01,5,2023,False,False,False,2.0,2242.0,2242.0,2242.0
110,377,TXN_9263299,Cookie,2.0,1.0,2.0,2023-10-08,2023-10-01,10,2023,True,True,False,1.0,1163.0,1163.0,1163.0
111,382,TXN_1436343,Cookie,1.0,1.0,1.0,2023-11-26,2023-11-01,11,2023,False,True,False,1.0,1163.0,1163.0,1163.0
112,384,TXN_7480234,Salad,1.0,5.0,5.0,2023-05-10,2023-05-01,5,2023,True,False,False,5.0,6360.0,6360.0,6360.0
113,391,TXN_1454467,Juice,3.0,3.0,9.0,2023-03-15,2023-03-01,3,2023,False,False,False,3.0,3735.0,3735.0,3735.0
114,394,TXN_8224079,Cookie,5.0,1.0,5.0,2023-10-16,2023-10-01,10,2023,False,False,False,1.0,1163.0,1163.0,1163.0
115,395,TXN_1916339,Cake,1.0,3.0,3.0,2023-07-15,2023-07-01,7,2023,False,False,False,3.0,3519.0,3519.0,3519.0
116,396,TXN_8611035,Sandwich,5.0,4.0,20.0,2023-05-28,2023-05-01,5,2023,False,False,True,4.0,4772.0,4772.0,4772.0
117,397,TXN_3595735,Tea,4.0,1.5,6.0,2023-03-26,2023-03-01,3,2023,True,False,True,1.5,1726.5,1726.5,1726.5
118,400,TXN_6169633,Salad,4.0,5.0,20.0,2023-12-20,2023-12-01,12,2023,True,True,False,5.0,6360.0,6360.0,6360.0
119,404,TXN_4518102,Tea,5.0,1.5,7.5,2023-02-08,2023-02-01,2,2023,False,True,False,1.5,1726.5,1726.5,1726.5
120,410,TXN_3666858,Cake,4.0,3.0,12.0,2023-12-27,2023-12-01,12,2023,False,True,False,3.0,3519.0,3519.0,3519.0
121,411,TXN_5499915,Cookie,2.0,1.0,2.0,2023-02-01,2023-02-01,2,2023,True,False,True,1.0,1163.0,1163.0,1163.0
122,414,TXN_1564754,Salad,3.0,5.0,15.0,2023-03-14,2023-03-01,3,2023,False,False,True,5.0,6360.0,6360.0,6360.0
123,415,TXN_1824506,Cake,1.0,3.0,3.0,2023-03-02,2023-03-01,3,2023,False,False,False,3.0,3519.0,3519.0,3519.0
124,418,TXN_1002457,Cookie,5.0,1.0,5.0,2023-09-29,2023-09-01,9,2023,True,False,True,1.0,1163.0,1163.0,1163.0
125,420,TXN_4732351,Sandwich,1.0,4.0,4.0,2023-04-22,2023-04-01,4,2023,False,False,True,4.0,4772.0,4772.0,4772.0
126,422,TXN_4980036,Cake,2.0,3.0,6.0,2023-01-05,2023-01-01,1,2023,True,False,False,3.0,3519.0,3519.0,3519.0
127,423,TXN_3022839,Coffee,5.0,2.0,10.0,2023-08-25,2023-08-01,8,2023,True,False,True,2.0,2242.0,2242.0,2242.0
128,424,TXN_7701070,Coffee,5.0,2.0,10.0,2023-07-28,2023-07-01,7,2023,True,True,False,2.0,2242.0,2242.0,2242.0
129,425,TXN_8048037,Sandwich,2.0,4.0,8.0,2023-03-31,2023-03-01,3,2023,True,False,True,4.0,4772.0,4772.0,4772.0
130,428,TXN_1887522,Sandwich,4.0,4.0,16.0,2023-02-20,2023-02-01,2,2023,False,False,False,4.0,4772.0,4772.0,4772.0
131,436,TXN_6769465,Juice,5.0,3.0,15.0,2023-06-13,2023-06-01,6,2023,False,False,True,3.0,3735.0,3735.0,3735.0
132,440,TXN_4980282,Cake,1.0,3.0,3.0,2023-10-22,2023-10-01,10,2023,False,False,True,3.0,3519.0,3519.0,3519.0
133,445,TXN_8209125,Cookie,3.0,1.0,3.0,2023-01-30,2023-01-01,1,2023,True,True,False,1.0,1163.0,1163.0,1163.0
134,447,TXN_3730415,Cake,4.0,3.0,12.0,2023-04-09,2023-04-01,4,2023,True,True,False,3.0,3519.0,3519.0,3519.0
135,448,TXN_4134253,Tea,4.0,1.5,6.0,2023-10-07,2023-10-01,10,2023,False,False,False,1.5,1726.5,1726.5,1726.5
136,454,TXN_7558641,Coffee,1.0,2.0,2.0,2023-12-22,2023-12-01,12,2023,False,False,True,2.0,2242.0,2242.0,2242.0
137,464,TXN_3234877,Coffee,4.0,2.0,8.0,2023-07-29,2023-07-01,7,2023,True,False,False,2.0,2242.0,2242.0,2242.0
138,465,TXN_6368719,Cake,4.0,3.0,12.0,2023-01-03,2023-01-01,1,2023,True,True,False,3.0,3519.0,3519.0,3519.0
139,466,TXN_8852585,Sandwich,4.0,4.0,16.0,2023-01-05,2023-01-01,1,2023,True,True,False,4.0,4772.0,4772.0,4772.0
140,467,TXN_9201010,Salad,1.0,5.0,5.0,2023-03-15,2023-03-01,3,2023,True,True,False,5.0,6360.0,6360.0,6360.0
141,472,TXN_3607652,Salad,4.0,5.0,20.0,2023-06-05,2023-06-01,6,2023,False,False,True,5.0,6360.0,6360.0,6360.0
142,473,TXN_8502094,Juice,5.0,3.0,15.0,2023-03-21,2023-03-01,3,2023,False,True,False,3.0,3735.0,3735.0,3735.0
143,474,TXN_9068244,Sandwich,5.0,4.0,20.0,2023-10-19,2023-10-01,10,2023,True,False,True,4.0,4772.0,4772.0,4772.0
144,477,TXN_7633490,Cookie,1.0,1.0,1.0,2023-10-27,2023-10-01,10,2023,True,False,False,1.0,1163.0,1163.0,1163.0
145,478,TXN_9292230,Tea,4.0,1.5,6.0,2023-07-14,2023-07-01,7,2023,False,True,False,1.5,1726.5,1726.5,1726.5
146,484,TXN_8006668,Tea,4.0,1.5,6.0,2023-12-22,2023-12-01,12,2023,False,True,False,1.5,1726.5,1726.5,1726.5
147,487,TXN_3560062,Cookie,1.0,1.0,1.0,2023-03-20,2023-03-01,3,2023,False,False,False,1.0,1163.0,1163.0,1163.0
148,491,TXN_6360132,Sandwich,4.0,4.0,16.0,2023-09-16,2023-09-01,9,2023,True,False,False,4.0,4772.0,4772.0,4772.0
149,494,TXN_7864939,Sandwich,3.0,4.0,12.0,2023-08-19,2023-08-01,8,2023,False,False,True,4.0,4772.0,4772.0,4772.0
150,496,TXN_3740963,Salad,2.0,5.0,10.0,2023-01-22,2023-01-01,1,2023,True,False,True,5.0,6360.0,6360.0,6360.0
151,498,TXN_6063966,Juice,2.0,3.0,6.0,2023-10-24,2023-10-01,10,2023,True,False,True,3.0,3735.0,3735.0,3735.0
152,499,TXN_3779640,Tea,1.0,1.5,1.5,2023-05-16,2023-05-01,5,2023,False,False,True,1.5,1726.5,1726.5,1726.5
153,505,TXN_8136881,Salad,3.0,5.0,15.0,2023-08-28,2023-08-01,8,2023,False,False,False,5.0,6360.0,6360.0,6360.0
154,506,TXN_3981449,Smoothie,2.0,4.0,8.0,2023-06-21,2023-06-01,6,2023,False,False,False,4.0,4088.0,4088.0,4088.0
155,510,TXN_4033802,Tea,3.0,1.5,4.5,2023-03-02,2023-03-01,3,2023,True,False,False,1.5,1726.5,1726.5,1726.5
156,517,TXN_4696439,Cookie,1.0,1.0,1.0,2023-05-27,2023-05-01,5,2023,False,False,False,1.0,1163.0,1163.0,1163.0
157,518,TXN_8826983,Smoothie,5.0,4.0,20.0,2023-01-14,2023-01-01,1,2023,False,False,False,4.0,4088.0,4088.0,4088.0
158,522,TXN_2947822,Cake,4.0,3.0,12.0,2023-10-27,2023-10-01,10,2023,False,False,True,3.0,3519.0,3519.0,3519.0
159,529,TXN_2493446,Sandwich,1.0,4.0,4.0,2023-05-19,2023-05-01,5,2023,True,False,False,4.0,4772.0,4772.0,4772.0
160,530,TXN_4538354,Juice,3.0,3.0,9.0,2023-04-21,2023-04-01,4,2023,True,False,False,3.0,3735.0,3735.0,3735.0
161,533,TXN_2690314,Tea,5.0,1.5,7.5,2023-08-10,2023-08-01,8,2023,False,False,False,1.5,1726.5,1726.5,1726.5
162,536,TXN_2968827,Salad,5.0,5.0,25.0,2023-09-14,2023-09-01,9,2023,True,False,True,5.0,6360.0,6360.0,6360.0
163,538,TXN_1387401,Cookie,4.0,1.0,4.0,2023-10-19,2023-10-01,10,2023,False,False,False,1.0,1163.0,1163.0,1163.0
164,540,TXN_3917193,Juice,5.0,3.0,15.0,2023-11-17,2023-11-01,11,2023,True,True,False,3.0,3735.0,3735.0,3735.0
165,542,TXN_2062854,Sandwich,4.0,4.0,16.0,2023-12-01,2023-12-01,12,2023,True,False,True,4.0,4772.0,4772.0,4772.0
166,544,TXN_5624860,Tea,3.0,1.5,4.5,2023-08-22,2023-08-01,8,2023,True,True,False,1.5,1726.5,1726.5,1726.5
167,553,TXN_3381656,Cake,5.0,3.0,15.0,2023-10-26,2023-10-01,10,2023,True,False,False,3.0,3519.0,3519.0,3519.0
168,557,TXN_1183995,Salad,5.0,5.0,25.0,2023-03-28,2023-03-01,3,2023,True,False,True,5.0,6360.0,6360.0,6360.0
169,563,TXN_7578769,Sandwich,5.0,4.0,20.0,2023-01-30,2023-01-01,1,2023,True,False,True,4.0,4772.0,4772.0,4772.0
170,564,TXN_3515664,Coffee,2.0,2.0,4.0,2023-09-25,2023-09-01,9,2023,True,False,False,2.0,2242.0,2242.0,2242.0
171,567,TXN_6422433,Sandwich,5.0,4.0,20.0,2023-05-09,2023-05-01,5,2023,True,False,True,4.0,4772.0,4772.0,4772.0
172,572,TXN_4669664,Cookie,1.0,1.0,1.0,2023-12-21,2023-12-01,12,2023,False,False,True,1.0,1163.0,1163.0,1163.0
173,581,TXN_2213556,Coffee,1.0,2.0,2.0,2023-05-30,2023-05-01,5,2023,False,False,False,2.0,2242.0,2242.0,2242.0
174,582,TXN_3826038,Salad,1.0,5.0,5.0,2023-10-20,2023-10-01,10,2023,True,False,False,5.0,6360.0,6360.0,6360.0
175,584,TXN_7380277,Sandwich,4.0,4.0,16.0,2023-04-24,2023-04-01,4,2023,True,False,True,4.0,4772.0,4772.0,4772.0
176,588,TXN_9266394,Cookie,2.0,1.0,2.0,2023-07-12,2023-07-01,7,2023,False,True,False,1.0,1163.0,1163.0,1163.0
177,592,TXN_6152588,Coffee,3.0,2.0,6.0,2023-11-21,2023-11-01,11,2023,True,False,False,2.0,2242.0,2242.0,2242.0
178,596,TXN_5739806,Smoothie,3.0,4.0,12.0,2023-09-18,2023-09-01,9,2023,False,True,False,4.0,4088.0,4088.0,4088.0
179,597,TXN_9228978,Coffee,5.0,2.0,10.0,2023-02-09,2023-02-01,2,2023,False,False,True,2.0,2242.0,2242.0,2242.0
180,603,TXN_1124753,Salad,4.0,5.0,20.0,2023-10-19,2023-10-01,10,2023,False,False,True,5.0,6360.0,6360.0,6360.0
181,606,TXN_7611120,Juice,2.0,3.0,6.0,2023-03-30,2023-03-01,3,2023,True,False,False,3.0,3735.0,3735.0,3735.0
182,610,TXN_6316959,Tea,2.0,1.5,3.0,2023-11-10,2023-11-01,11,2023,False,False,False,1.5,1726.5,1726.5,1726.5
183,611,TXN_2265984,Cookie,5.0,1.0,5.0,2023-10-18,2023-10-01,10,2023,True,True,False,1.0,1163.0,1163.0,1163.0
184,615,TXN_1123138,Salad,1.0,5.0,5.0,2023-02-10,2023-02-01,2,2023,False,False,False,5.0,6360.0,6360.0,6360.0
185,616,TXN_9212503,Salad,2.0,5.0,10.0,2023-10-08,2023-10-01,10,2023,True,False,True,5.0,6360.0,6360.0,6360.0
186,620,TXN_2806243,Salad,4.0,5.0,20.0,2023-01-14,2023-01-01,1,2023,True,False,True,5.0,6360.0,6360.0,6360.0
187,623,TXN_3286932,Cookie,1.0,1.0,1.0,2023-07-11,2023-07-01,7,2023,True,False,True,1.0,1163.0,1163.0,1163.0
